"Gene","Fold_Change"
"ILMN_1343295",3.28959742539809
"ILMN_1651228",1.7135024732727
"ILMN_1651229",2.08177967244961
"ILMN_1651237",3.03230335318082
"ILMN_1651254",2.25649807062731
"ILMN_1651262",1.74570349690975
"ILMN_1651278",1.73652018168196
"ILMN_1651296",1.84618789368603
"ILMN_1651315",2.03332843543698
"ILMN_1651316",1.98057525309396
"ILMN_1651328",2.33035796186
"ILMN_1651346",3.41072000809566
"ILMN_1651347",1.97266589995448
"ILMN_1651364",1.71692488970872
"ILMN_1651378",2.15150267108365
"ILMN_1651385",1.91536065013557
"ILMN_1651403",3.61327344201128
"ILMN_1651405",2.96809317145525
"ILMN_1651429",2.03675041533366
"ILMN_1651433",1.79256041075724
"ILMN_1651438",1.63988278840222
"ILMN_1651496",9.27603851359428
"ILMN_1651498",5.0209409039853
"ILMN_1651499",3.56079876407049
"ILMN_1651504",1.39805928074435
"ILMN_1651506",1.51968191158609
"ILMN_1651507",1.91046023341713
"ILMN_1651513",1.81220623969068
"ILMN_1651557",1.63914742614162
"ILMN_1651628",1.97451738873536
"ILMN_1651680",1.52780792508092
"ILMN_1651684",1.62989868626141
"ILMN_1651692",1.83936043827987
"ILMN_1651699",2.04878326602465
"ILMN_1651705",2.52865823532708
"ILMN_1651719",1.48520819877805
"ILMN_1651735",1.74152070641764
"ILMN_1651752",1.63746637379995
"ILMN_1651767",1.74572370149612
"ILMN_1651769",1.65105068773792
"ILMN_1651776",2.1313660271387
"ILMN_1651788",2.50111000904563
"ILMN_1651799",2.55820165346844
"ILMN_1651800",2.98188045595065
"ILMN_1651819",2.63518863827939
"ILMN_1651826",4.4842151675485
"ILMN_1651828",1.95559472552885
"ILMN_1651832",1.62838555801029
"ILMN_1651850",1.26872563499287
"ILMN_1651872",1.50752443702054
"ILMN_1651886",1.78501598488702
"ILMN_1651899",1.50048076146151
"ILMN_1651936",1.38214257026646
"ILMN_1651949",1.83176705614831
"ILMN_1651964",2.28245304442789
"ILMN_1651987",3.17571996291682
"ILMN_1652000",1.72088513944698
"ILMN_1652003",2.91169799943813
"ILMN_1652006",1.59673075108726
"ILMN_1652008",1.76996394694887
"ILMN_1652024",1.38310672439174
"ILMN_1652065",3.55047469582388
"ILMN_1652073",1.72643674092949
"ILMN_1652082",2.14025136307045
"ILMN_1652085",1.85731888228666
"ILMN_1652113",1.81022499182178
"ILMN_1652123",1.75846054950389
"ILMN_1652128",1.61085278196823
"ILMN_1652147",1.62013794946307
"ILMN_1652160",1.48784598621936
"ILMN_1652163",1.60575728723121
"ILMN_1652185",3.11655200323756
"ILMN_1652199",6.57857930938309
"ILMN_1652207",1.66223220019315
"ILMN_1652215",1.58327394966069
"ILMN_1652223",1.77361476492671
"ILMN_1652230",1.56880030856339
"ILMN_1652280",1.60950389542864
"ILMN_1652300",1.71738295282922
"ILMN_1652331",1.36150653870662
"ILMN_1652333",1.74827315445299
"ILMN_1652357",1.55077015793657
"ILMN_1652371",3.25205939075013
"ILMN_1652379",1.7750793301706
"ILMN_1652394",2.01599681248301
"ILMN_1652407",2.1512627957711
"ILMN_1652409",2.04986070033976
