Sample_ID,SVM_Score
GSM996267,0.9999001
GSM996268,1.0003219
GSM996269,3.5217323
GSM996270,1.0003782
GSM996271,1.0002845
GSM996272,3.6153831
GSM996273,1.0003801
GSM996274,1.0002263
GSM996275,1.0004449
GSM996276,3.5954752
GSM996277,1.2577386
GSM996278,1.3215255
GSM996279,2.3781662
GSM996280,1.8103357
GSM996281,0.9999304
GSM996282,0.9998331
GSM996283,3.2594016
GSM996284,1.5473675
GSM996285,2.2577338
GSM996286,2.9416378
GSM996287,0.9998768
GSM996288,2.0394992
GSM996289,4.0610053
GSM996290,1.0003361
GSM996291,1.5153054
GSM996292,0.9999105
GSM996293,1.7410478
GSM996294,1.558486
GSM996295,2.2643428
GSM996296,1.5477849
GSM996297,1.0004983
GSM996298,3.4255231
GSM996299,1.4387699
GSM996300,1.7893836
GSM996311,1.000397
GSM996312,1.3601882
GSM996313,-1.0003852
GSM996314,0.9996636
GSM996315,-1.0001613
GSM996316,-1.0002219
GSM996317,1.1176162
GSM996318,0.9998546
GSM996319,1.6204471
GSM996320,0.999703
GSM996321,-1.0003612
GSM996322,2.0109538
GSM996323,-1.000161
GSM996324,-2.1292205
GSM996325,0.9999872
GSM996326,1.0002045
GSM996327,-1.0000786
GSM996328,3.1836055
GSM996329,0.9997217
GSM996330,0.9999704
GSM996331,0.9998346
GSM996332,1.4181693
GSM996333,1.0000987
GSM996334,-0.9999707
GSM996335,1.9178149
GSM996336,-1.0001559
GSM996337,1.0003103
GSM996338,1.5010726
GSM996339,2.5516845
GSM996340,-1.6737389
GSM996341,0.9997652
GSM996342,0.9997874
GSM996343,0.999946
GSM996344,1.7734123
GSM996345,1.48633
GSM996346,0.9996662
GSM996347,1.3782378
GSM996348,2.0175461
GSM996349,1.0002541
GSM996350,2.9056397
GSM996351,-0.9999521
GSM996352,1.0002584
GSM996353,-0.9996832
GSM996354,1.0002425
GSM996355,0.9997548
GSM996356,2.1359757
GSM996357,-0.9999809
GSM996358,-0.9996598
GSM996359,1.9703244
GSM996360,0.9998978
GSM996361,2.7281395
GSM996362,-1.7840225
GSM996363,-1.4002497
GSM996364,-1.0000476
GSM996365,0.9996297
GSM996366,-1.0002843
GSM996367,-1.0002931
GSM996368,1.3077819
GSM996369,1.0802141
GSM996370,-1.0000077
GSM996371,1.4253099
GSM996372,1.0003194
GSM996373,2.2699928
GSM996374,1.9322475
GSM996375,2.7448539
GSM996376,1.0003294
GSM996377,-1.0001324
GSM996378,0.9997614
GSM996379,0.9998217
GSM996380,1.3873291
GSM996381,0.9996447
GSM996382,-1.0002262
GSM996383,1.0004045
GSM996384,2.0659237
GSM996385,-0.9997257
GSM996386,2.2410037
GSM996387,1.4017065
GSM996388,2.4832501
GSM996389,-0.9996393
GSM996390,2.7453054
GSM996391,0.9997264
GSM996392,1.6838486
GSM996393,1.0158287
GSM996394,2.2786204
GSM996395,1.5760275
GSM996396,1.1197051
GSM996397,-0.9998867
GSM996398,1.3850615
GSM996399,2.811066
GSM996400,3.0668334
GSM996401,2.1162859
GSM996402,0.9997578
GSM996403,1.0675146
GSM996404,0.9995576
GSM996405,1.7887088
GSM996406,1.191844
GSM996407,1.0310225
GSM996408,2.0045667
GSM996409,0.9997786
GSM996410,2.2822462
GSM996411,-0.9996559
GSM996412,0.9998421
GSM996413,-1.0004022
GSM996414,1.5591667
GSM996415,4.4341899
GSM996416,-1.0003394
GSM996417,1.9171925
GSM996418,-0.9997453
GSM996419,1.8543155
GSM996420,1.6183825
GSM996421,2.4734501
GSM996422,1.6156282
GSM996423,3.0275211
GSM996424,0.9996651
GSM996425,2.2037762
GSM996426,1.0854478
GSM996427,1.0001097
GSM996428,1.3998053
GSM996429,2.4261811
GSM996430,3.0797481
GSM996431,2.4489796
GSM996432,-1.0001512
GSM996433,1.4737336
GSM996434,1.3724578
GSM996435,-0.9999251
GSM996436,1.0003131
GSM996437,0.9996255
GSM996438,2.9499095
GSM996439,-0.9994501
GSM996440,1.0000606
GSM996441,1.0000082
GSM996442,0.9998126
GSM996443,-0.9996032
GSM996444,2.3586028
GSM996445,1.0000481
GSM996446,1.0966939
GSM996447,2.3181833
GSM996448,1.4836489
GSM996449,-1.0001902
GSM996450,0.9997165
GSM996451,2.7198042
GSM996452,0.9997772
GSM996453,2.5452381
GSM996454,0.9998536
GSM996455,1.0000461
GSM996456,1.000126
GSM996457,2.2779585
GSM996458,0.9998578
GSM996459,1.00034
GSM996460,1.9064976
GSM996461,0.9997125
GSM996462,2.1240808
GSM996463,1.0004397
GSM996464,1.3038021
GSM996465,-0.9996689
GSM996466,-1.0711827
GSM996467,2.2459934
GSM996468,1.0002273
GSM996469,1.4591526
GSM996470,-1.0003458
GSM996471,-1.0001621
GSM996472,1.2543527
GSM996473,1.9919537
GSM996474,1.0001732
GSM996475,3.0415276
GSM996476,0.9998818
GSM996477,1.0002579
GSM996478,3.0202644
GSM996479,1.0265685
GSM996480,1.0003886
