"","GSM1230902","GSM1230903","GSM1230905","GSM1230906","GSM1230907","GSM1230908","GSM1230909","GSM1230910","GSM1230911","GSM1230912","GSM1230913","GSM1230914","GSM1230915","GSM1230916","GSM1230917","GSM1230918","GSM1230919","GSM1230920","GSM1230921","GSM1230922","GSM1230923","GSM1230924","GSM1230925","GSM1230926","GSM1230927","GSM1230928","GSM1230929","GSM1230930","GSM1230931","GSM1230932","GSM1230933","GSM1230934","GSM1230935","GSM1230936","GSM1230937","GSM1230938","GSM1230939","GSM1230940","GSM1230941","GSM1230942","GSM1230943","GSM1230944","GSM1230945","GSM484368","GSM484369","GSM484370","GSM484371","GSM484372","GSM484373","GSM484374","GSM484375","GSM484376","GSM484377","GSM484378","GSM484379","GSM484380","GSM484381","GSM484382","GSM484383","GSM484384","GSM484385","GSM484386","GSM484387","GSM484388","GSM484389","GSM484390","GSM484391","GSM484392","GSM484393","GSM484394","GSM484395","GSM484396","GSM484397","GSM484398","GSM484399","GSM484400"
"ILMN_1682717",1970.25,4149.295,3050.2,3967.23,5424.63,3732.9,3733.06,4271.11,6963.25,3959.73,3011.49,973.663,4955.23,2762.88,4584.08,1312.57,5871.2,4454.53,4812.72,10593.8,1303.64,2710.17,4264.57,1029.08,2223.31,4880.5,3798.95,3519.24,2615.99,3237.61,3167.69,2914.22,4604.02,2697.39,870.45,3185.53,2234.92,2008.85,5564.02,1721.9,1572.66,3684.07,2134.82,231.2653,250.1566,278.2006,198.2923,177.1095,198.0366,194.2282,162.5519,229.3252,118.7325,167.5764,204.1803,267.7408,190.4528,207.3622,423.5758,381.5121,394.2551,345.3958,291.9427,191.0566,335.3746,201.9899,205.2459,500.8405,216.7129,203.7866,203.2999,115.4387,210.6306,267.2492,201.4777,198.6465
"ILMN_1685097",1464.39,1258.35,1582.62,1451.89,1360.05,1457.35,1235.46,1430.95,1352.68,1697.11,1701.65,1604.56,1333.77,1258.32,1365.72,1452.5,1330.2,1389.61,1226.51,1177.69,1452.59,1440.48,1396.02,2303.86,1454.11,1311,1498.9,1370.96,1433.41,1252.49,1450.49,1457.94,1416.9,1686.2,1846.12,1384.53,1649.69,1278.94,1476.66,1664.39,1345.17,1416.33,1256.25,102.9929,129.4781,70.21613,113.2119,98.93756,93.76507,93.29716,103.4998,100.11,87.33206,92.82653,86.60215,85.46091,68.4943,81.92159,95.32616,80.56324,109.2614,93.37744,87.53252,56.9517,105.1721,68.84917,80.28027,100.2887,80.44063,82.05412,77.83335,69.16107,102.3331,105.2612,65.1395,98.31461
"ILMN_1685445",361.373,472.399,321.687,404.52,488.071,432.356,548.3,449.927,488.946,367.228,380.784,322.899,437.557,368.022,523.996,457.868,428.89,354.665,338.855,445.42,348.505,432.695,617.298,425.417,392.738,416.031,375.062,411.07,399.475,354.209,367.563,372.929,488.993,433.868,688.321,400.267,477.082,356.637,335.909,381.399,470.465,417.983,438.287,6.030375,10.72719,-1.323047,7.540009,1.724579,-0.2076107,9.667046,1.186637,7.845342,4.816762,4.914789,-1.625986,9.266702,5.47935,9.645138,5.097703,3.223655,13.16987,-2.278013,5.897318,14.18584,10.18382,4.999428,10.09122,16.60657,6.234753,4.438031,6.172703,1.785674,9.140089,2.080334,6.114431,11.62012
"ILMN_1686626",4752.07,3564.63,5252.98,4898.09,4796.25,5375.24,4548.87,4332.87,4348.6,4465.36,3915.83,5598.03,4646.63,3727.2,4444.05,3493.66,4416.67,5160.34,4832.54,3864.65,4893.45,4411.28,6150.02,4478.08,4341.49,3864.35,4198.64,4537.61,4149.65,4328.95,2985.96,3863.66,3826.63,3111.17,5140.16,4217.9,5399.85,4573.58,3751.11,4249.11,4915.63,4348.6,3947.02,1120.55,659.4181,698.2504,827.8941,641.371,850.1761,850.45,835.1707,736.864,837.8089,719.3069,731.5163,564.4059,454.4741,824.6239,707.5798,597.7672,935.3036,744.468,624.3801,549.5435,791.751,576.3729,815.7002,937.7585,638.56,916.3107,456.9014,566.7575,909.9194,770.1227,572.0205,772.7125
"ILMN_1686712",264.291,287.078,309.318,312.437,292.608,300.626,343.056,289.226,307.469,318.482,309.461,321.746,286.086,306.563,286.198,309.062,291.231,389.435,316.833,311.774,358.03,312.463,359.643,309.37,317.006,377.586,274.936,318.878,368.972,351.964,307.418,301.813,386.128,335.479,275.103,307.801,288.009,364.245,322.899,260.844,285.787,319.94,307.984,12.20839,4.785754,9.412336,6.156338,4.137425,5.621206,6.410776,0.2935658,11.79678,6.836017,4.440463,14.66511,9.251466,5.363233,1.999144,3.650724,9.679699,14.38391,6.013447,4.97524,2.642264,9.183707,5.856389,4.790819,6.949502,7.791652,2.447896,1.597097,5.088434,10.45153,5.039839,4.983403,5.007726
"ILMN_1686929",593.167,640.485,683.571,578.799,579.988,567.852,621.581,554.752,532.379,600.264,563.158,645.743,650.087,616.563,680.819,524.62,648.4,915.002,697.454,603.508,548.189,604.565,554.471,449.507,633.017,552.322,659.545,619.411,712.017,638.709,671.229,703.466,579.071,522.694,575.911,592.004,667.682,622.703,733.4,556.18,600.145,591.195,529.608,33.66699,38.59474,34.78876,20.47377,20.00055,33.86518,26.92037,16.71829,36.99574,25.12131,38.09365,65.78669,14.33855,34.2855,25.91136,26.26916,35.4023,19.78496,43.2585,14.82349,14.68939,37.49536,18.01915,18.56318,34.74084,17.22114,19.34507,25.87931,21.41973,20.30505,41.14355,22.89664,37.23992
"ILMN_1687442",392.679,542.661,481.741,513.299,531.327,549.623,545.23,404.197,358.916,506.396,558.852,612.585,368.022,427.127,471.762,660.237,395.238,576.125,593.167,516.027,530.827,478.369,384.627,436.307,405.675,455.414,424.377,523.412,380.162,395.238,312.945,529.292,427.517,431.744,493.361,411.045,330.291,471.278,342.363,447.977,561.054,307.822,543.602,66.15174,39.96017,50.66852,48.28314,25.37681,24.14115,38.27548,47.84417,36.42142,50.72784,44.54302,41.85603,25.75408,30.25681,52.32639,26.06028,30.97138,45.48208,11.42649,16.10619,27.96637,73.35733,24.30905,27.28416,29.76281,27.83127,34.414,29.81868,35.13562,22.397,37.73536,45.88695,23.17631
"ILMN_1687978",890.185,2153.805,1462.09,2960.71,4590.51,2004.85,2013.41,3080.43,3278.76,1799.04,2977.82,585.403,4175.87,1953.21,2571.73,1016.86,4119.32,2573.65,1533.38,4723.41,932.947,1545.08,989.056,352.355,1886.55,3124.53,1080.95,788.252,1066.02,3023.85,1645.47,1516.87,2884.14,885.086,429.157,1105.17,491.17,1047.6,3328.86,614.364,604.639,1226.69,840.162,11.08351,7.27634,0.9275727,4.9634,-0.110792,19.24969,8.39449,8.924041,5.770909,11.08551,17.38996,5.765937,17.296,14.51369,14.63937,6.989863,13.56217,15.38085,1.095121,3.255054,2.249997,8.98316,6.644772,4.66663,6.376099,13.71247,12.70115,6.409132,5.823312,2.408824,11.33662,8.554707,14.67701
"ILMN_1688464",678.432,437.367,508.852,655.319,317.199,527.317,504.844,581.12,627.23,376.126,450.74,772.192,617.916,580.937,376.441,569.227,429.968,579.071,554.334,465.376,415.249,591.396,329.541,638.772,873.375,549.9,633.618,372.051,521.776,560.641,383.125,455.175,411.292,538.588,521.86,586.84,449.018,552.467,504.863,444.283,643.039,515.792,588.151,27.91163,37.89309,29.56248,32.08639,37.97081,43.14273,33.01328,38.77107,34.01753,49.33108,33.34506,21.88557,23.36483,28.38908,28.85059,20.76551,22.35426,28.27832,27.17053,40.49883,22.96907,25.23016,18.35977,24.30039,26.29029,28.76,31.91792,22.8686,37.27501,26.93198,22.29298,24.7855,28.21559
"ILMN_1688629",1477.82,1472.935,1940.8,1829.37,1670.12,1422.71,2034.92,1517.05,1406.66,1312.11,1430.94,1447.76,1600.57,2067.54,1980.78,1316.35,1469.3,2187.25,2070.09,1564.14,1538.29,1870.39,1395.3,1054.4,1977.53,1483.25,1786.28,1586.29,1214.49,1516.84,1348.2,1459.29,1555.45,1352.56,1247.21,1567.53,1414.78,1306.96,1498.88,1321.58,2427.95,1701.02,1310.01,242.7053,234.0212,196.694,247.081,182.3492,201.4198,163.3747,205.3853,207.6316,221.5808,166.2278,134.7653,200.8501,145.4761,213.6567,197.3502,202.6057,216.3368,209.1419,211.792,145.4724,214.3276,148.0453,181.4816,243.6455,176.5439,165.8108,159.926,148.3569,197.1107,203.9561,177.6689,205.7639
