"","GSM1230902","GSM1230903","GSM1230905","GSM1230906","GSM1230907","GSM1230908","GSM1230909","GSM1230910","GSM1230911","GSM1230912","GSM1230913","GSM1230914","GSM1230915","GSM1230916","GSM1230917","GSM1230918","GSM1230919","GSM1230920","GSM1230921","GSM1230922","GSM1230923","GSM1230924","GSM1230925","GSM1230926","GSM1230927","GSM1230928","GSM1230929","GSM1230930","GSM1230931","GSM1230932","GSM1230933","GSM1230934","GSM1230935","GSM1230936","GSM1230937","GSM1230938","GSM1230939","GSM1230940","GSM1230941","GSM1230942","GSM1230943","GSM1230944","GSM1230945","GSM484368","GSM484369","GSM484370","GSM484371","GSM484372","GSM484373","GSM484374","GSM484375","GSM484376","GSM484377","GSM484378","GSM484379","GSM484380","GSM484381","GSM484382","GSM484383","GSM484384","GSM484385","GSM484386","GSM484387","GSM484388","GSM484389","GSM484390","GSM484391","GSM484392","GSM484393","GSM484394","GSM484395","GSM484396","GSM484397","GSM484398","GSM484399","GSM484400"
"ILMN_1697585",1264.35,1291.18,1321.53,1689.12,1252.99,1103.98,1348.63,1232.23,1188.57,1358.21,988.217,1295.17,977.369,1312.57,1114.04,1548.76,959.647,1321.53,1128.29,991.07,1597.98,1273.37,710.434,1203.65,1469.43,1043.13,1030.13,1459.29,927.841,911.543,884.106,1095.59,1020.34,1200.15,1117.02,1565.52,1215.05,1105.1,765.096,1237.98,1485.64,944.496,1131.19,149.0781,82.9213,116.8103,136.8696,93.62819,112.1814,94.05318,98.89021,102.5056,131.1461,101.0731,105.7059,75.22868,102.0042,141.9164,83.27216,95.34911,118.5722,95.13055,91.82127,65.78497,118.3082,52.49827,108.2337,106.8488,71.40034,102.2751,97.01262,86.85018,113.9307,93.71493,91.58092,81.69721
"ILMN_1697694",7754.14,8339.165,8002.99,8051.8,7910.89,7734.56,7784.33,6603.6,7861.06,10022.7,9570.79,8312.16,11020.9,8666.36,8292.92,7345.61,10246.5,8636.47,10136.5,8787.06,8507.3,8391.08,11119,10327.7,9696.81,8876.14,10678.9,10609.6,12045.2,10197.4,11318.7,10784.9,13434.1,9957.3,9946.41,9946.41,11943.2,9714.28,9739.79,9957.3,8258.71,11489.2,10683.7,1147.719,1443.766,1105.315,1091.333,1222.797,1146.161,1018.258,1109.526,1126.342,1084.891,1034.645,832.8992,917.4218,1182.576,932.9744,1091.516,944.7564,948.9448,815.7956,1008.855,648.269,1068.161,1000.602,952.3436,1377.758,850.1192,1027.102,885.3713,986.4997,1143.591,977.0207,1161.09,942.4097
"ILMN_1698733",253.473,291.025,351.638,340.382,294.07,294.511,296.347,326.535,281.008,287.505,370.543,326.268,269.981,299.007,306.205,297.294,374.432,418.217,313.273,313.028,299.568,374.136,244.554,286.701,290.574,307.985,242.721,274.973,308.466,352.284,324.162,346.236,283.254,283.332,291.603,299.317,271.393,252.385,373.761,278.628,257.658,305.75,257.826,12.30981,6.901674,9.002757,11.84317,8.804088,14.35419,4.137015,4.677153,6.96528,3.252266,20.4522,10.74148,9.69358,3.835022,4.665082,10.24243,9.555791,9.671129,12.93073,6.173685,11.59608,8.878144,10.00502,5.942167,6.654314,4.147733,6.440775,12.01104,13.69006,5.0912,7.416676,8.603713,8.101345
"ILMN_1699648",414.321,287.8775,357.991,276.346,378.937,352.23,360.518,398.629,395.481,322.739,332.628,334.738,311.325,384.097,316.803,304.747,298.241,345.464,307.86,339.897,394.127,423.13,481.328,377.716,312.207,411.026,395.673,450.539,494.835,382.47,352.608,293.359,396.497,393.036,414.894,407.914,415.619,481.133,372.051,410.847,325.909,428.89,366.782,45.1505,47.38828,50.0453,55.3333,42.34879,29.02976,43.67856,38.48871,48.65252,27.6237,33.34048,12.00587,19.31043,27.92817,25.9768,44.11261,43.76204,60.48762,34.37267,31.34186,36.83912,61.00119,57.82059,33.02526,64.70608,72.28954,18.97627,40.20475,46.96255,57.02519,36.99231,69.18143,49.43808
"ILMN_1702806",1153.06,1378.95,1052.99,1331.14,1181.28,1122.12,1329.96,1092.62,1309.98,1307.33,1195.92,1149.61,1016.86,1331.12,1359.33,1377.39,1005.94,1451.89,1170.48,965.395,1250.65,1031.01,854.811,1077.31,1247.25,1416.9,1124.87,1249.27,1307.34,1325.48,1065.93,1392.2,1098.19,1056.52,1072.22,1023.98,1225.3,1350.03,1392.19,1139.8,1482.71,1013.25,1199.46,71.50516,87.99574,86.72793,89.44088,71.99436,95.53135,86.84844,75.73151,73.10088,100.6989,93.26268,74.59974,62.18621,81.80954,84.31874,61.15143,64.11044,75.3808,62.43261,52.25222,53.01698,87.2996,56.43108,35.84599,77.701,53.94142,65.55583,48.50757,41.9203,88.73349,79.81237,69.82067,69.41866
"ILMN_1704404",450.742,535.06,486.591,516.861,535.018,470.186,556.271,394.374,521.021,615.728,493.025,561.739,720.815,442.98,524.602,543.744,594.541,502.316,442.314,539.942,471.109,523.418,492.02,506.573,489.896,433.16,562.116,662.078,550.719,451.821,578.276,600.733,455.119,441.895,443.601,513.344,600.748,446.367,799.191,593.8,429.51,456.838,525.81,33.35608,29.98516,42.40628,35.94918,9.036952,14.94563,19.73571,32.28133,25.4692,19.5098,14.76291,18.39672,23.63873,14.25317,25.13399,25.79922,21.82785,39.42345,30.15539,24.09694,25.52104,19.83201,19.65376,17.59995,39.77596,32.36145,24.48025,20.92665,21.39058,29.46114,32.0273,38.55691,17.52994
"ILMN_1706546",472.515,502.2125,514.344,537.661,778.556,621.322,624.182,585.484,630.638,638.709,499.973,503.309,477.37,523.335,582.344,532.978,494.889,470.605,475.298,537.115,475.75,586.865,1152.33,581.387,610.893,426.964,505.488,534.283,844.957,660.084,839.869,576.289,745.332,521.69,727.546,575.861,583.86,711.82,559.1,456.147,959.846,537.496,697.454,122.6755,79.30862,100.5926,128.2081,123.8785,120.0962,66.79647,96.0344,97.65229,78.55777,103.0357,148.2611,198.6599,176.9322,118.39,190.8515,193.5518,114.7403,168.043,111.0832,196.2477,158.2012,181.0609,149.6774,142.9155,165.0321,116.1041,214.7784,157.8469,170.0448,151.3089,129.3624,162.6722
"ILMN_1706643",332.212,379.349,287.519,348.774,395.767,306.859,352.576,301.553,338.917,371.289,342.782,299.438,362.909,302.717,361.506,336.587,246.706,308.048,300.015,345.482,357.648,304.608,280.374,350.454,377.78,332.612,392.073,308.504,303.041,423.737,426.035,383.743,301.808,381.356,358.963,332.428,317.382,331.431,288.136,329.259,380.149,312.896,338.917,11.05047,10.29837,0.197354,24.75126,10.19199,15.49913,5.886117,8.330436,8.998247,6.923625,15.89311,36.21326,18.54029,4.28584,7.830241,21.71729,3.460293,8.772832,10.02069,7.204779,18.15743,6.675223,14.68173,9.66198,9.91663,5.841353,12.22474,10.87629,10.80629,8.85317,18.39648,11.05837,17.67622
"ILMN_1707464",632.576,673.922,555.62,646.582,591.692,549.838,583.05,656.964,559.435,575.692,596.507,501.662,655.319,618.105,538.816,602.292,545.199,566.752,662.444,494.188,650.277,588.102,760.186,624.572,606.14,548.56,646.378,591.555,507.441,760.329,543.602,548.56,574.756,631.677,655.772,731.132,703.024,812.751,615.728,524.602,851.688,556.796,612.585,73.53773,61.95273,57.09344,103.9731,52.32406,75.05696,73.19359,70.048,61.35804,57.99988,55.62272,49.0414,35.34261,34.22401,54.84792,20.30856,43.79845,52.60136,51.49064,36.1876,28.00718,61.56291,41.1223,57.25053,64.01134,42.92749,51.47878,30.66941,36.83032,63.38536,33.72847,27.59964,59.19252
"ILMN_1707491",570.81,328.4675,523.418,450.4,318.608,543.602,575.017,537.448,674.308,371.669,684.391,408.235,305.154,695.563,511.15,430.615,340.97,450.753,556.959,479.396,685.616,539.8,656.6,578.027,303.619,498.354,416.059,401.526,263.832,472.077,589.037,283.195,354.512,362.766,508.875,456.035,538.265,455.559,338.713,412.228,363.981,544.412,282.443,27.60691,27.94883,36.42041,45.65856,25.18076,62.23577,17.04344,27.82233,41.96799,49.72615,77.7,36.07186,15.10166,11.90842,75.01366,16.09307,17.36565,29.28356,4.331386,18.64734,24.82269,8.292122,16.29064,14.31613,16.7245,34.68582,18.63866,11.14349,0.86127,48.47828,17.42572,22.76992,32.89365
"ILMN_1707791",574.25,472.7775,565.683,540.627,485.998,575.519,533.05,446.114,466.772,470,478.28,588.991,489.064,527.268,430.257,567.062,475.298,608.606,589.564,541.655,474.861,514.943,500.876,440.237,574.807,532.524,591.104,551.703,515.304,641.914,595.774,553.381,579.994,486.075,622.498,551.384,617.304,582.088,632.649,543.53,660.237,639.056,562.97,81.08913,72.16497,72.29745,83.52674,54.61905,93.98643,76.63782,81.28139,60.96418,70.54311,65.29976,53.98379,60.73875,51.63808,90.78367,45.99194,36.91548,83.68332,62.71512,65.9175,51.02127,70.63588,60.28123,71.46079,100.8308,105.8166,63.87067,33.96219,49.34739,59.49889,53.00971,63.56869,75.67841
"ILMN_1716733",1733.66,1563.065,471.833,384.746,881.9,3451.15,452.591,3482.62,3155.97,5049.75,2373.6,334.936,1273.58,317.78,411.248,7014.92,366.642,381.356,319.019,6488.52,346.542,4378.76,2158.76,413.407,575.52,707.692,417.391,2616.69,5741.24,4227.42,386.798,345.462,1263.05,1515.78,319.057,308.417,1094.33,412.545,339.742,825.108,337.785,426.964,3808.56,227.358,404.6686,53.22276,592.0867,34.44054,661.5239,37.72652,143.1229,32.13263,1973.577,33.76653,41.53798,9.638031,15.60844,32.9106,194.3003,217.1818,559.8656,335.1338,84.16302,7.930228,554.1326,86.03214,10.9625,395.0977,149.7709,11.19542,246.0712,631.3055,1167.51,355.3987,198.5959,634.7701
"ILMN_1718207",924.754,675.9145,936.788,710.236,780.084,847.603,792.445,799.458,710.207,900.129,782.794,1001.97,762.096,710.926,688.321,765.182,777.143,812.717,868.512,677.886,839.545,853.466,1360.05,994.552,744.294,788.167,960.814,1063.3,831.539,927.263,832.542,862.195,902.514,833.105,1296.38,908.41,1343.36,984.447,827.437,867.171,892.781,1058.9,769.634,194.5896,188.653,169.9304,188.8261,131.9491,184.4666,195.0084,161.0336,134.9881,149.2842,154.196,123.7474,179.687,124.8897,168.7368,172.2136,109.5328,154.2525,158.4324,140.3169,155.195,152.4121,145.8086,105.8725,182.2568,150.5,148.9691,129.2805,128.0346,150.3635,170.183,135.7282,181.0271
"ILMN_1718610",4582.22,3801.895,4333.46,3191.61,3324.47,3781.42,4276.31,4227.31,4328.08,3837.74,4092.61,4126.68,3157.02,4288.71,3178.07,3406.1,3955.93,4353.23,5376.59,4147.58,4844.2,4453.49,5819.56,4364.49,4311.09,4951.72,4724.51,4340.42,4791.27,4735.87,5037.07,4870.98,4422.52,4490.4,5155.11,4773.18,5804.73,4490.4,4100.66,5929.98,3996.79,6124.89,3773.48,332.2343,477.8673,430.5259,386.955,385.3177,485.0036,402.3628,385.9733,371.4854,438.3335,308.1384,296.1044,480.984,470.7979,572.5394,364.5455,370.7747,363.77,359.5778,326.6812,318.0372,388.9536,378.7115,318.1096,434.8465,356.5837,334.1324,236.3849,307.5495,375.2883,382.6026,401.3221,324.2499
"ILMN_1719032",1612.78,1871.525,1638.76,1787.11,1785.95,1296.63,1645.39,1848.71,1857.51,1935.56,1940.8,1612.36,1760.77,1656.66,1666.9,1716.79,1765.83,1547.79,1343.9,1877.12,1850.16,1585.45,1159.58,1292.9,1779.72,1675.53,1905.97,1859.35,1785.97,1815.1,1749.87,1791.02,1835.75,1709.29,1237.31,1714.62,1482.71,1658.3,1986.13,1929.31,1833.72,1464.39,1811.27,207.8227,239.2016,232.7373,207.7502,234.0186,275.1516,243.3511,257.1029,167.4362,217.0964,290.2367,227.9477,297.5508,285.9711,271.8757,322.5829,275.7733,265.6311,356.9165,373.9086,311.5845,271.3524,188.1248,228.2525,356.8935,201.2506,205.44,238.6564,166.5058,226.1839,253.896,230.3588,217.0694
"ILMN_1719599",213.48,183.247,242.999,166.036,233.984,272.304,214.78,171.493,197.077,286.056,197.376,227.122,222.126,172.123,213.044,143.826,170.242,200.858,172.293,280.568,174.963,337.78,258.331,351.833,168.662,345.557,192.969,170.425,274.911,273.352,668.879,220.091,211.944,305.353,259.438,281.102,150.632,255.393,151.701,241.13,199.888,285.877,518.794,14.79794,8.124066,7.764931,51.26589,30.10917,62.61012,28.58243,14.73894,29.09881,18.48082,20.97068,48.68764,75.20354,50.23934,25.84282,70.15215,80.01332,47.56529,18.59678,22.24298,63.10149,20.6742,48.07587,51.45274,20.6232,52.2104,53.5391,17.84934,19.26481,15.40034,50.25975,43.6121,34.31177
"ILMN_1720027",716.89,682.9025,779.717,727.496,637.342,912.25,746.129,580.128,764.458,546.164,548.31,780.16,499.821,803.066,703.024,759.498,600.5,741.055,822.407,691.829,883.393,859.076,608.998,606.238,690.39,619.824,650.708,723.155,546.507,738.3,691.725,648.587,517.015,690.862,822.407,588.594,674.063,598.139,581.421,636.267,772.226,634.529,642.589,47.82939,36.66907,42.77005,51.30194,73.80029,70.35637,36.82037,36.50122,69.51299,77.9918,32.32114,49.03988,19.0804,30.76501,46.90323,16.41027,40.18563,41.05579,31.5062,10.39924,34.85894,29.43636,55.0934,52.0863,37.75401,53.46675,68.41674,20.38415,52.58581,64.13434,23.3185,20.56092,25.92256
"ILMN_1723433",445.119,341.8935,347.575,386.883,402.9,350.294,492.1,416.898,374.432,388.777,332.073,351.088,530.254,548.342,347.964,379.985,275.266,696.047,418.217,428.411,429.673,321.205,304.273,324.162,595.251,524.582,477.383,407.342,414.628,550.719,445.261,404.34,388.655,410.581,378.97,423.197,291.366,423.653,477.104,356.061,538.451,350.007,406.922,7.509235,19.07817,22.41452,6.223444,55.20335,69.4107,54.36164,24.36344,45.5807,86.61114,18.88409,65.68924,26.7146,15.22669,12.74705,31.39152,17.09302,25.44426,74.53636,12.05545,30.54714,28.35023,16.34482,19.86544,67.35879,19.08585,28.65131,50.26175,44.88593,40.01073,15.06021,6.530595,17.62631
"ILMN_1723871",664.876,553.2015,627.128,634.529,651.507,722.429,590.776,602.041,560.329,683.43,598.286,753.168,683.432,658.894,575.861,644.803,683.122,893.98,733.688,792.88,619.27,687.814,668.613,524.602,579.071,666.328,713.254,634.864,812.84,659.782,682.857,712.636,771.25,603.116,588.808,569.285,775.952,583.127,708.097,599.568,617.828,650.644,597.833,37.61766,35.08089,33.72149,31.83713,39.76331,43.80223,40.35701,33.07366,41.19958,49.14401,34.67553,25.70942,17.07294,37.79305,30.39267,34.20623,45.20841,41.11535,21.51137,34.36304,17.13192,33.19448,35.21091,29.58599,36.86782,25.08173,64.71981,17.16313,20.08705,40.64735,19.37181,33.26355,40.06252
"ILMN_1726410",997.928,631.8185,1061.76,744.36,849.26,939.817,704.124,730.141,566.508,1016.52,890.083,1567.53,917.947,890.083,795.9,694.02,833.83,984.004,565.14,842.215,647.147,577.442,593.578,791.174,1182.72,1088.78,1046.58,814.231,1134.52,616.625,1059.83,1152.33,710.769,863.295,958.023,1030.02,972.462,891.612,1144.6,985.767,795.9,1203.65,717.311,116.6279,102.9786,110.2397,118.7635,74.72541,72.76375,138.709,108.3631,58.55937,80.58634,114.0963,82.11018,93.48808,97.53156,105.7694,80.46385,66.21964,97.75526,119.1959,95.85456,64.8746,103.1843,91.27363,52.10641,111.2162,82.40807,98.90342,42.98589,39.79393,106.9533,88.18726,76.15015,130.4924
"ILMN_1727041",8289.02,9174.2,8761.16,9847.92,7533.54,8815.43,10153.2,9092.75,8636.47,8954.52,9815.04,8436.43,8708.47,8515.21,9311.14,8976.49,9920.95,10851.5,10101,9127.58,8790.49,10352.5,8390.11,7975.24,9316.13,8919.09,9025.38,7618.13,8633.87,10481.2,8982.07,8664.73,8722.1,7755.07,9671.99,8292.92,8775.8,8322.85,8636.47,8438.03,9473.12,8775.8,8892.89,560.4875,581.329,514.4354,584.0416,432.4398,537.7112,517.5673,480.0148,481.7833,550.0795,509.2288,408.3045,441.1614,447.7849,576.5301,451.3971,428.6258,601.4752,486.3,400.3844,400.3742,534.6194,399.6746,532.1457,612.0422,457.6365,545.5881,352.3361,474.8351,566.3693,460.22,485.9782,510.09
"ILMN_1727055",515.093,443.4465,412.29,503.252,336.47,411.355,389.392,410.392,391.147,708.097,764.725,530.25,300.729,393.636,471.592,521.217,445.432,405.26,482.183,415.979,543.822,397.517,352.173,638.868,317.468,405.46,278.114,448.277,258.27,315.677,362.38,394.401,411.367,468.595,502.083,394.603,289.489,293.003,270.633,493.316,297.134,390.637,586.511,12.01457,7.203189,11.49938,18.74283,4.265892,11.06696,4.33819,4.302153,2.192387,2.231292,24.40696,4.815796,4.333618,8.192403,6.902966,12.49454,6.728177,8.471589,7.559121,9.12975,1.681347,12.35662,-0.3421559,18.73538,2.416472,12.30415,6.897862,9.338104,8.583714,6.306485,11.32221,5.334748,3.760266
"ILMN_1729130",1193.06,1041.4455,1256.05,1123.1,1000.52,1260.59,1150.84,1048.96,1123.66,1170.62,1310.54,1405.16,1085.44,1305.6,1183.91,1199.07,1273.37,1473.19,1093.53,1218.01,1112.23,1276.83,833.609,1509.35,1233.64,1346.53,1147.13,1021.25,1148.43,1126.54,1500.89,1194.67,1209.25,1403.71,1108.24,1307.66,1061.84,1195.18,1165.43,1267.3,1083,1556.18,1086.26,108.4194,101.12,111.5526,95.87553,66.80859,128.7571,89.16061,102.8289,98.98909,127.5152,128.8166,116.3026,123.5765,107.3566,120.7179,118.1228,80.31928,140.1014,126.0292,120.4879,115.8355,103.7992,100.5827,114.1361,127.6852,116.0505,136.333,105.0777,99.48826,107.809,123.2334,106.9078,133.3041
"ILMN_1733559",2988.65,1641.48,1015.54,1485.64,2787.56,2015.77,2298.96,2668.88,2296.58,1719.47,369.124,1659.32,643.039,779.389,1399.81,3145.39,306.415,306.036,1311,645.978,3417.52,724.917,2273.18,784.549,768.607,255.319,1846.89,1466.78,2029.53,1930.02,435.875,1054.01,1485.03,256.584,1133.14,388.975,1333.26,2208.34,1836.24,1176.03,3183.07,302.303,1022.86,86.15211,219.6964,170.3033,187.3306,149.0921,133.6426,157.5685,167.5287,110.9755,153.7833,134.239,129.8586,359.7702,345.2511,324.9664,238.6996,678.5388,245.1488,376.4831,116.9544,482.3475,497.6927,406.7772,500.3886,210.237,470.233,557.2405,749.4454,378.8272,336.6299,352.2487,312.5774,359.3908
"ILMN_1737380",964.069,1061.766,1162.93,1033.78,961.899,1038.59,960.886,944.591,957.665,944.959,956.452,1082.48,1003.89,1036.01,869.154,917.947,1054.01,891.473,805.984,870.941,1005.66,1218.01,1015.54,818.7,964.069,972.462,831.284,1009.53,718.145,983.54,886.744,892.824,960.347,868.407,963.415,1060.74,878.482,1155.29,753.788,741.055,1060.24,1027.91,1010.41,28.6364,32.71348,17.5815,23.2003,18.28444,35.29213,23.47232,33.82328,24.38586,25.74595,27.21171,21.9762,13.70892,16.02316,31.31932,13.96021,17.63191,19.49515,18.80706,23.72428,18.19745,30.09912,17.21301,19.63736,30.58414,37.97366,23.33518,5.640707,14.86033,31.13764,19.4149,27.29578,29.1967
"ILMN_1739659",1983.06,2077.225,2184.91,2083.5,1859.25,2617.15,1925.1,2221.36,1798.86,2283.31,2161.93,2768.61,1776.04,2077.58,2009.35,2526.6,2165.08,2516.95,2543.97,1847.7,2347.54,2385.87,2005.15,2216.15,1992.26,1903.82,2055.83,2168.72,1799.55,2013.41,1698.58,1996.4,2088.02,2046.07,2087.68,2144.12,2221.72,2046.21,1577.02,1624.2,2401.26,2543.95,2071.97,190.7153,222.4657,210.2967,233.8641,170.8772,214.7398,187.7812,196.5183,191.9788,196.886,208.601,184.8579,162.3142,166.8165,193.858,170.0983,145.3217,218.5202,176.6731,166.1953,159.07,223.3088,143.6384,168.4293,229.2182,133.7684,190.2077,119.5526,168.6228,195.5317,160.6415,182.2854,131.0399
"ILMN_1741032",504.12,354.745,484.484,436.405,439.112,648.568,506.689,462.503,440.906,351.538,450.245,528.444,352.29,404.797,409.907,410.901,523.028,450.351,449.001,453.438,449.522,500.79,478.942,573.836,435.246,545.23,515.346,622.498,411.045,434.975,387.564,477.12,581.339,448.63,413.407,497.552,478.576,498.316,288.506,382.107,490.793,599.816,423.284,58.50029,49.63553,42.75908,54.64801,57.65802,45.59893,55.67007,43.3843,42.36757,47.94426,43.05711,37.82652,46.29379,54.35778,58.82614,54.31857,43.79536,53.20832,62.55823,59.985,56.48364,58.02282,37.0713,45.83514,53.66812,51.81528,44.00787,49.29102,46.0575,51.79061,76.093,70.71156,21.32976
"ILMN_1741180",978.109,980.4855,736.279,985.018,986.362,774.604,1001.97,1051.94,827.996,906.125,695.735,815.071,659.545,1138.6,948.306,1278.61,802.629,848.599,1078.84,894.372,1023.33,956.188,1135.56,977.285,1029.08,871.737,1213.69,880.827,758.097,837.135,751.808,864.06,872.604,1003.46,1674.62,864.186,1313.98,1031.3,1032.56,1106.58,1121.63,699.973,995.358,17.9297,33.39591,47.80446,43.1189,26.11874,23.93435,38.05019,30.82335,18.12848,9.437864,42.21214,38.1466,47.75519,19.09591,33.99308,26.18497,32.39237,38.88452,26.45761,45.18644,25.40157,21.79436,17.82634,27.09813,32.36341,17.55301,34.18488,23.16508,29.99708,24.48542,35.18007,40.58825,14.6867
"ILMN_1742569",1109.65,1038.2225,1267.34,1080.33,1075.84,1221.44,1218.4,984.517,875.348,834.367,1162.93,1093.38,1005.68,918.382,868.975,1094.78,959.485,1200.15,1260.96,988.029,996.72,777.725,1232.23,969.267,950.104,798.894,1023.96,814.408,613.552,861.836,717.705,1053.77,699.678,820.994,963.954,848.35,998.316,1123.66,939.817,793.826,1105.17,1147.51,869.324,177.2113,133.141,134.0562,120.7677,95.61158,80.8643,133.8905,113.4773,85.53606,104.6165,104.9723,86.43418,71.07014,121.7156,137.367,82.31915,107.2659,116.8079,98.42696,58.82592,61.87301,157.6402,123.9107,68.97438,121.2841,164.6174,80.38037,70.48457,89.09866,100.5293,93.64167,86.45592,157.0224
"ILMN_1742827",695.563,620.225,670.84,657.468,666.328,638.868,699.191,726.577,779.379,664.412,695.173,706.921,816.687,685.34,792.302,940.786,698.956,790.628,715.735,707.437,726.074,731.132,584.798,837.894,952.1,693.96,801.4,741.677,997.417,662.263,789.491,585.063,782.429,962.604,749.595,861.197,900.29,840.088,721.007,876.597,693.699,693.478,819.333,13.8504,7.593914,25.70457,17.15798,20.29543,13.48354,19.66762,8.38555,10.45143,13.06658,16.45584,13.8193,16.51699,26.57665,31.42158,24.14514,29.12467,12.30968,29.25323,27.15904,22.94189,18.18268,10.33335,10.06825,20.34673,21.30139,23.48485,18.05879,20.2313,17.10902,14.05716,17.63995,31.61446
"ILMN_1745049",325.35,323.8115,326.255,311.354,360.381,306.122,272.777,312.897,301.759,369.21,360.922,379.648,256.656,307.273,322.711,368.981,319.678,343.817,413.137,330.715,306.914,356.634,316.437,301.714,354.9,295.113,310.988,312.136,293.114,321.205,331.001,343.832,335.349,306.957,367.699,314.248,356.93,301.228,308.832,386.408,354.885,327.703,312.794,26.06145,20.66466,38.92741,40.67924,12.34453,23.23414,40.60897,21.99462,23.50627,33.30201,31.8164,27.88202,13.09051,18.53995,31.4557,47.33811,33.30055,39.05837,39.26436,29.29875,38.74586,25.0021,15.18926,26.19037,20.74626,15.58035,24.14477,31.71,21.46104,21.6407,18.97443,13.43062,21.71823
"ILMN_1745420",438.287,414.266,405.543,368.42,263.888,427.982,404.084,341.412,415.979,458.506,585.954,484.92,374.706,414.375,431.95,363.023,517.614,502.395,400.629,533.722,440.377,457.868,280.976,392.684,450.994,489.588,440.906,486.81,582.53,266.993,481.417,424.739,370.467,406.629,365.561,422.385,461.706,288.136,463.725,534.858,348.805,407.111,288.528,16.08808,8.479852,18.95454,15.1085,24.78908,25.71126,4.254081,18.3959,15.01587,2.463038,24.33689,5.864016,14.45309,13.69441,16.34309,4.70575,13.50597,1.031516,13.99958,8.009039,30.38786,13.59267,11.20984,7.210659,10.30051,10.4186,13.53211,4.848413,10.72392,9.715696,8.908211,8.41106,13.85532
"ILMN_1745737",467.873,451.6195,443.947,501.408,433.16,386.298,515.346,445.733,506.976,460.876,411.026,447.739,470.605,546.037,485.258,548.278,414.444,481.664,430.816,390.558,472.458,461.778,655.73,426.035,494.847,434.975,512.267,508.832,591.195,521.36,529.778,488.504,560.427,403.948,527.268,490.011,541.708,561.739,573.836,477.024,585.32,504.601,495.639,35.92488,30.42688,33.38627,27.59629,29.27204,27.84992,37.5866,28.93769,19.83779,22.25993,27.10114,20.95897,30.12276,30.66841,22.73395,29.4772,28.60573,37.11585,23.61088,22.55736,37.6506,33.47582,10.53854,35.28423,30.98012,23.12999,31.72931,25.80832,7.212852,30.12597,19.85856,25.42973,34.5446
"ILMN_1746494",971.128,918.213,959.537,861.197,783.434,940.786,994.315,795.989,841.67,741.677,963.954,1454.18,847.621,799.517,897.019,996.835,884.026,1155.29,996.72,947.155,1032.56,962.296,1061.41,1026.34,1003.94,1110.39,1010.05,953.369,1049.46,888.024,1021.68,923.731,902.891,956.188,1023.84,1011.86,955.759,946.741,940.312,1027.19,1201.05,1254.41,1021.79,73.14827,74.5695,66.8884,68.95686,64.02712,80.27583,54.75095,90.66657,64.85413,99.38374,69.41851,69.38512,66.12865,63.07191,45.62474,56.08899,50.71083,61.21518,60.89139,49.72932,37.901,77.28873,55.9278,31.54449,62.0907,24.03316,45.68893,57.59275,39.88338,43.96963,40.3953,44.38124,50.45086
"ILMN_1747303",5769.55,5666.775,6288.62,5655.38,4853.1,7186.77,6388.34,5736.6,5378.22,7311.25,7050.79,6512.52,5181.57,6039.43,6137.64,5395.51,6491.55,11119,8775.8,6073.92,5927.84,6691.27,6214.51,4954.22,5343.86,5856.68,5037.07,4589.85,5312.93,6245.3,6186.4,6084.81,5175.52,5147.22,8805.34,5253.87,5344.84,5435.98,5856.68,5759.83,5375.24,5521.74,6076.56,690.2846,725.8726,665.9291,710.4064,646.9362,797.8132,738.2441,716.1096,669.1384,805.637,772.1106,651.5911,422.1488,575.4667,820.5441,458.8876,548.9804,654.9151,645.4315,426.7502,435.8384,714.3538,490.8377,447.29,701.3568,558.1782,692.5436,300.8169,465.4138,692.5337,492.6194,477.9307,753.4899
"ILMN_1748271",384.386,419.9515,455.555,372.867,452.391,496.141,413.584,428.275,375.053,335.918,453.514,517.894,405.464,410.591,427.95,384.519,417.986,495.529,423.309,412.29,464.952,504.893,346.251,500.396,421.051,479.755,357.669,455.453,391.313,459.526,382.035,463.876,475.75,489.064,432.356,510.911,422.056,597.495,389.433,396.597,448.277,452.715,357.049,22.88349,25.87849,21.46481,17.73677,28.83536,19.01415,7.771259,21.14979,12.71118,8.903056,11.17073,17.10144,17.86062,11.43429,7.146345,24.07829,14.98828,14.54883,13.2788,7.969424,11.15442,25.12207,12.26236,18.37136,16.44258,14.52247,13.0948,12.87804,9.464288,9.559671,23.542,20.57974,15.45689
"ILMN_1748831",441.557,393.317,510.911,498.086,491.924,517.609,528.393,573.191,400.222,362.38,399.475,482.734,402.01,440.635,493.361,507.441,327.053,695.173,586.549,453.631,558.04,594.594,410.549,503.958,649.219,437.218,549.758,410.244,260.64,593.8,422.118,512.245,292.753,559.435,738.804,449.091,561.408,625.363,578.268,425.631,769.505,412.628,378.132,40.83133,44.02553,46.152,65.33347,39.13858,64.30633,50.20941,42.73379,34.45708,71.39064,54.97593,41.32712,20.0774,25.34941,39.61557,4.984547,24.61819,31.1931,15.36646,6.734732,22.82253,31.62261,10.36518,26.04406,32.30473,26.0612,34.76461,7.497213,8.252658,46.85834,23.70469,18.96197,33.09184
