"","ID","Symbol"
"ILMN_1777915","ILMN_1777915","STX6"
"ILMN_1779040","ILMN_1779040","INO80B"
"ILMN_1781987","ILMN_1781987","CDK5"
"ILMN_1782567","ILMN_1782567","GUCY1B3"
"ILMN_1785852","ILMN_1785852","OBFC2A"
"ILMN_1787879","ILMN_1787879","ARL2"
"ILMN_1788223","ILMN_1788223","RSPH3"
"ILMN_1788347","ILMN_1788347","KIAA1737"
"ILMN_1788540","ILMN_1788540","LOC732075"
"ILMN_1788810","ILMN_1788810","C12orf30"
"ILMN_1789123","ILMN_1789123","PLK4"
"ILMN_1789596","ILMN_1789596","ETV6"
"ILMN_1790562","ILMN_1790562","EYA3"
"ILMN_1791884","ILMN_1791884","SNHG11"
"ILMN_1792176","ILMN_1792176","TADA3"
"ILMN_1792314","ILMN_1792314","ACTR1A"
"ILMN_1794187","ILMN_1794187","FBXL3"
"ILMN_1794825","ILMN_1794825","ALDH3A2"
"ILMN_1796682","ILMN_1796682","PARP3"
"ILMN_1797030","ILMN_1797030","FGF18"
"ILMN_1797189","ILMN_1797189","MAP3K12"
"ILMN_1798061","ILMN_1798061","ZFYVE26"
"ILMN_1798288","ILMN_1798288","MOBKL2C"
"ILMN_1799815","ILMN_1799815","XYLT2"
"ILMN_1800739","ILMN_1800739","SPINT2"
"ILMN_1801931","ILMN_1801931","USP41"
"ILMN_1802053","ILMN_1802053","ZNF91"
"ILMN_1802646","ILMN_1802646","EPHB6"
"ILMN_1803357","ILMN_1803357","FLJ40125"
"ILMN_1803779","ILMN_1803779","AP2A2"
"ILMN_1804656","ILMN_1804656","C12orf62"
"ILMN_1805853","ILMN_1805853","LOC653583"
"ILMN_1805863","ILMN_1805863","WDR81"
"ILMN_1808824","ILMN_1808824","NEBL"
"ILMN_1811102","ILMN_1811102","LRSAM1"
"ILMN_1811426","ILMN_1811426","TMTC1"
"ILMN_1812169","ILMN_1812169","SERAC1"
"ILMN_1812787","ILMN_1812787","LOC653717"
"ILMN_1813475","ILMN_1813475","HERC2"
"ILMN_1815345","ILMN_1815345","EIF3J"
"ILMN_1815705","ILMN_1815705","LZTFL1"
"ILMN_1833376","ILMN_1833376",""
"ILMN_1843259","ILMN_1843259",""
"ILMN_1860753","ILMN_1860753",""
"ILMN_1869034","ILMN_1869034",""
"ILMN_1872122","ILMN_1872122",""
"ILMN_1874689","ILMN_1874689",""
"ILMN_1878191","ILMN_1878191",""
"ILMN_1887174","ILMN_1887174","KIAA0146"
"ILMN_1895915","ILMN_1895915",""
"ILMN_1914855","ILMN_1914855",""
"ILMN_2059535","ILMN_2059535","PPM1F"
"ILMN_2061043","ILMN_2061043","CD48"
"ILMN_2065690","ILMN_2065690","GRAMD3"
"ILMN_2094262","ILMN_2094262","AMY1B"
"ILMN_2116827","ILMN_2116827","RGPD1"
"ILMN_2121437","ILMN_2121437","NCL"
"ILMN_2123450","ILMN_2123450","FLJ43093"
"ILMN_2124064","ILMN_2124064","REL"
"ILMN_2128623","ILMN_2128623","LOC285359"
"ILMN_2129715","ILMN_2129715","COG3"
"ILMN_2131392","ILMN_2131392","WDR70"
